market_id,app_id,app,downloads,price,average_score,in_app_purchases,group,nest,market_share,num_apps_category
United States 2019,com.magicfluids,Magic Fluids,113700,3.7229304136564716,4.8000002,FALSE,ENTERTAINMENT,ENTERTAINMENT,4.5219355634124904e-4,39
United States 2019,com.zombodroid.MemeGeneratorFullGplay,Meme Generator PRO,100000,3.6144184286025394,4.8000002,FALSE,ENTERTAINMENT,ENTERTAINMENT,3.977076133168417e-4,39
United States 2019,nl.ijsdesign.huehalloween,Hue Halloween,10000,3.238820641898708,4,TRUE,ENTERTAINMENT,ENTERTAINMENT,3.977076133168417e-5,39
United States 2019,com.cendoncristian.crusoemoji,CrusoeMoji - Celebrity Dachshund Wiener Dog Emojis,1280,3.0334383623617596,3.5,TRUE,ENTERTAINMENT,ENTERTAINMENT,5.090657450455574e-6,39
United States 2019,com.turner.ttgfigures2,Teen Titans GO Figure!,100000,4.199038338685597,4.5,TRUE,GAME_ACTION,GAME1,3.977076133168417e-4,29
United States 2019,com.coffeestainstudios.goatsimulator.goatz,Goat Simulator GoatZ,146580,5.5299069021338365,4.3000002,FALSE,GAME_ACTION,GAME1,5.829598195998266e-4,29
United States 2019,com.devolver.downwell_rerelease,Downwell,100000,3.8138338209320413,4.5,FALSE,GAME_ACTION,GAME1,3.977076133168417e-4,29
United States 2019,com.pastagames.ro1mobile,Rayman Jungle Run,1300700,1.588145241325602,4.099999899999999,TRUE,GAME_ACTION,GAME1,0.00517298292641216,29
United States 2019,com.rockstargames.bully,Bully: Anniversary Edition,379880,7.9844023650623654,4.5999999,FALSE,GAME_ACTION,GAME1,0.0015108116814680184,29
United States 2019,com.gameloft.android.ANMP.GloftM4HM,Modern Combat 4: Zero Hour,4707940,8.023679719025438,4.1999998,TRUE,GAME_ACTION,GAME1,0.018723835810388917,29
United States 2019,com.activision.boz,Call of Duty:Black Ops Zombies,312400,8.006182889413079,4.099999899999999,TRUE,GAME_ACTION,GAME1,0.0012424385840018135,29
United States 2019,com.ubisoft.assassinscreed.identity,Assassin's Creed Identity,1121960,3.105526265506065,3.5999999,TRUE,GAME_ACTION,GAME1,0.004462120338369638,29
United States 2019,com.scottgames.sisterlocation,Five Nights at Freddy's: SL,398220,3.8604400141744732,4.1999998,FALSE,GAME_ACTION,GAME1,0.0015837512577503272,29
United States 2019,com.turner.b10runner,Ben 10: Up to Speed,50000,3.560367986814125,4.1999998,TRUE,GAME_ACTION,GAME1,1.9885380665842086e-4,29
United States 2019,com.wb.lego.marvel,LEGO Â® Marvel Super Heroes,349860,5.8889641251080995,3.8,TRUE,GAME_ACTION,GAME1,0.0013914198559503025,29
United States 2019,air.com.sfbgames.HauntTheHouseTerrortown,Haunt the House: Terrortown,77920,2.8087452899653442,4.5,FALSE,GAME_ACTION,GAME1,3.0989377229648305e-4,29
United States 2019,com.rockstargames.gtasa,Grand Theft Auto: San Andreas,5000000,7.303772901450894,4.5,FALSE,GAME_ACTION,GAME1,0.019885380665842087,29
United States 2019,com.MikaMobile.Zombieville2,Zombieville USA 2,50000,1.561555040465005,4.3000002,FALSE,GAME_ACTION,GAME1,1.9885380665842086e-4,29
United States 2019,com.Zonmob.Stickman.FightingGames.ShadowOfDeath,Shadow of Death: Dark Knight - Stickman Fighting,5000000,1.586359696557617,4.5999999,TRUE,GAME_ACTION,GAME1,0.019885380665842087,29
United States 2019,com.scottgames.fnaf3,Five Nights at Freddy's 3,500000,3.896904925965721,4.6999998,FALSE,GAME_ACTION,GAME1,0.001988538066584209,29
United States 2019,com.oddworld.Stranger,Oddworld: Stranger's Wrath,500000,4.3188186497559,4.5999999,FALSE,GAME_ACTION,GAME1,0.001988538066584209,29
United States 2019,com.wb.lego.tcs,LEGOÂ® Star Warsâ¢: TCS,358700,7.256837872334956,3.8,FALSE,GAME_ACTION,GAME1,0.0014265772089675113,29
United States 2019,com.scottgames.fnaf4,Five Nights at Freddy's 4,450620,3.426629342561732,4.5999999,FALSE,GAME_ACTION,GAME1,0.0017921500471283522,29
United States 2019,org.ppsspp.ppssppgold,PPSSPP Gold - PSP emulator,260020,5.9194651083951895,4.5999999,FALSE,GAME_ACTION,GAME1,0.0010341193361464518,29
